Complaint,Category,,,,,
i didn't get a notification before my re-up charge.,Subscriptions,,,,,
"Excuse me, The merchandise looks nothing like the online photo on the website!",Product Integrity & Accuracy,,,,,
the software is stuck on the buffering screen forever.,Technical Issues,,,,,
I think my account has been stolen or leaked.,Security and Privacy,,,,,
i want to ask for a copy of all the personal data you have on me.,Security and Privacy,,,,,
"I'm sorry, but The reimbursement amount I received is less than what I paid.",Refund & Returns,,,,,
"Hi, The refund amount I received is less than what I paid.",Refund & Returns,,,,,
my transaction stuck and it hasn't arrived yet.,Delivery,,,,,
"Hi, i didn't get the bonus with my order.",Promotions,,,,,
i think my profile has been compromised or compromised.,Security and Privacy,,,,,
i want to be alerted when this product is in quantity again.,Inventory,,,,,
I see a suspicious charge from your site on my bank statement.,Billing & Transaction Problems,,,,,
"I'm sorry, but your terms of service says I have 30 days to send back this.",Refund & Returns,,,,,
"Hi, My order postponed and it hasn't arrived yet!",Delivery,,,,,
why is my shipment postponed in sorting center?,Delivery,,,,,
the status status changed from available to out of stock suddenly!,Inventory,,,,,
"Hi, the invite credit was not added to my profile.",Promotions,,,,,
"Hello, my notifs are not saving after I edit them!",Account & Profile Management,,,,,
The postal service was supposed to deliver my request yesterday but it's late!,Delivery,,,,,
the material of this merchandise is very poor compared to the description!,Product Integrity & Accuracy,,,,,
"the exchange process is too complicated, I need assistance!",Refund & Returns,,,,,
My privacy settings are not working as expected.,Security and Privacy,,,,,
the invite credit was not added to my account.,Promotions,,,,,
The software is stuck on the buffering screen forever!,Technical Issues,,,,,
"Excuse me, Why is there an extra fee on my receipt?",Billing & Transaction Problems,,,,,
"Excuse me, can I get a refund if the parcel was never sent?",Refund & Returns,,,,,
i need an update on my shipment transit status.,Delivery,,,,,
the exchange rate conversion for my checkout seems incorrect.,Billing & Transaction Problems,,,,,
"I'm sorry, but my auto-renew is turned off but I was still charged.",Subscriptions,,,,,
i want to exchange my merchandise for a different size.,Refund & Returns,,,,,
i want to improve my level to the VIP level.,Subscriptions,,,,,
I need to reset my password immediately.,Security and Privacy,,,,,
Shipment is delayed due to weather.,Technical Issues,,,,,
"Excuse me, my username is spelled incorrectly on my personal info.",Account & Profile Management,,,,,
can I get a demo for your service?,Subscriptions,,,,,
I opened the container and the item was gone!,Product Integrity & Accuracy,,,,,
"I'm sorry, but my debit card was charged the wrong amount.",Billing & Transaction Problems,,,,,
The quality of this good is very poor compared to the description!,Product Integrity & Accuracy,,,,,
Why is the inventory count wrong on the UI?,Inventory,,,,,
"Hello, Can I change my username on the website?",Account & Profile Management,,,,,
Why is there an extra fee on my receipt?,Billing & Transaction Problems,,,,,
"I'm sorry, but i need to recover my passcode immediately.",Security and Privacy,,,,,
"I'm sorry, but i need an update on my box transit status.",Delivery,,,,,
I can't log in because the online shop is too slow.,Technical Issues,,,,,
"I'm sorry, but I want to obtain a copy of all the private info you have on me.",Security and Privacy,,,,,
"I'm sorry, but i need a postage label for my package.",Refund & Returns,,,,,
i can't place an order because the storefront is too slow.,Technical Issues,,,,,
"Hi, Why was I billed for a subscription I already ended?",Subscriptions,,,,,
i received the incorrect size for the unit I ordered!,Product Integrity & Accuracy,,,,,
I need to modify my shipping address for all future orders.,Account & Profile Management,,,,,
why was my data shared with a third party without permission?,Security and Privacy,,,,,
i want to end my recurring membership!,Subscriptions,,,,,
The good looks nothing like the advertised image on the storefront.,Product Integrity & Accuracy,,,,,
the good looks nothing like the advertised image on the site.,Product Integrity & Accuracy,,,,,
i want to enable multi-factor authentication for better safety!,Security and Privacy,,,,,
How do I suspend my access for a few months?,Subscriptions,,,,,
The site is not displaying thumbnails properly!,Technical Issues,,,,,
"Hello, The cost at checkout didn't match the cost on the product page.",Billing & Transaction Problems,,,,,
the referral credit was not added to my account!,Promotions,,,,,
My automatic payment is turned off but I was still billed!,Subscriptions,,,,,
i want to return my order for a full reimbursement.,Refund & Returns,,,,,
My notifs are not saving after I update them.,Account & Profile Management,,,,,
i didn't get the bonus with my order.,Promotions,,,,,
can you check quantity in the other transit?,Inventory,,,,,
I'm getting a 404 error when I click the pay button.,Technical Issues,,,,,
"Excuse me, Why is there an extra surcharge on my invoice?",Billing & Transaction Problems,,,,,
My checkout was declined but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
"I'm sorry, but The good is out of stock and I need to know when it will be restocked.",Inventory,,,,,
my subscription benefits are not working correctly.,Subscriptions,,,,,
where is my parcel? The tracking info says it is sorting center.,Delivery,,,,,
i cannot find where to adjust my personal details.,Account & Profile Management,,,,,
Why is the availability count count wrong on the UI?,Inventory,,,,,
I want to use my store credit for this buy.,Promotions,,,,,
I can't update my mobile on the account settings.,Account & Profile Management,,,,,
I didn't get a notification before my re-up charge.,Subscriptions,,,,,
i need an update on my parcel transit status!,Delivery,,,,,
"Excuse me, The software is stuck on the buffering screen forever!",Technical Issues,,,,,
i didn't get the free gift with my purchase!,Promotions,,,,,
The postal service was supposed to deliver my order yesterday but it's late.,Delivery,,,,,
i noticed a login from a transit I don't recognize.,Security and Privacy,,,,,
My notifs are not saving after I edit them!,Account & Profile Management,,,,,
"I'm sorry, but I can't modify my contact number on the membership settings.",Account & Profile Management,,,,,
I want to exchange my transaction for a full refund.,Refund & Returns,,,,,
i haven't received a payment proof for my buy.,Billing & Transaction Problems,,,,,
the storefront says available but it's actually on waiting list.,Inventory,,,,,
the good was retired right after I ordered it!,Inventory,,,,,
I haven't received a receipt for my buy.,Billing & Transaction Problems,,,,,
I noticed a sign-in from a warehouse I don't recognize.,Security and Privacy,,,,,
I want to upgrade my level to the VIP level.,Subscriptions,,,,,
"Hi, I signed up for the signup bonus but never received it.",Promotions,,,,,
"Hello, My data usage settings are not working as expected!",Security and Privacy,,,,,
I haven't received a receipt for my payment!,Billing & Transaction Problems,,,,,
"Hello, The site is not secure and I am worried about my details.",Security and Privacy,,,,,
The article I got is old and cannot be used.,Product Integrity & Accuracy,,,,,
there is a bug in the mobile app's latest update.,Technical Issues,,,,,
"Excuse me, is there a delay with freight to my area?",Delivery,,,,,
can I get a refund if the shipment was never sent?,Refund & Returns,,,,,
i want to request a copy of all the data you have on me.,Security and Privacy,,,,,
the mobile app is stuck on the processing screen forever.,Technical Issues,,,,,
the delivery driver was supposed to deliver my purchase yesterday but it's late.,Delivery,,,,,
The exchange rate conversion for my checkout seems incorrect.,Billing & Transaction Problems,,,,,
the submit button on the payment page is not working.,Technical Issues,,,,,
I didn't get the free gift with my transaction.,Promotions,,,,,
the price at checkout didn't match the price on the product page.,Billing & Transaction Problems,,,,,
the application is stuck on the buffering screen forever.,Technical Issues,,,,,
i need to change my passcode immediately.,Security and Privacy,,,,,
